case_id,case_name,symbol,tsym,time,utc,open,high,low,close,volumefrom,volumeto,conversionType,conversionSymbol,context_claims
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678320000,2023-03-09T00:00:00Z,1,1,1,1,1178454.69,1178653.52,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678323600,2023-03-09T01:00:00Z,1,1,1,1,1526025.19,1526017.23,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678327200,2023-03-09T02:00:00Z,1,1,1,1,1540824.01,1541132.35,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678330800,2023-03-09T03:00:00Z,1,1,1,1,706196.91,706410.65,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678334400,2023-03-09T04:00:00Z,1,1,1,1,409350.49,409440.07,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678338000,2023-03-09T05:00:00Z,1,1,1,1,771977.96,772044.23,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678341600,2023-03-09T06:00:00Z,1,1,1,1,714691.34,714959.32,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678345200,2023-03-09T07:00:00Z,1,1,1,1,1786123.31,1786337.2,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678348800,2023-03-09T08:00:00Z,1,1,1,1,2891322.21,2891785.13,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678352400,2023-03-09T09:00:00Z,1,1,1,1,2989728.2,2990262.79,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678356000,2023-03-09T10:00:00Z,1,1,1,1,3100915.81,3101370.95,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678359600,2023-03-09T11:00:00Z,1,1,1,1,1350492.56,1350186.67,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678363200,2023-03-09T12:00:00Z,1,1,1,1,632067.86,632257.43,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678366800,2023-03-09T13:00:00Z,1,1,1,1,1780303.48,1780733.8,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678370400,2023-03-09T14:00:00Z,1,1,1,1,4139127.55,4139235.38,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678374000,2023-03-09T15:00:00Z,1,1,0.9999,1,2707554.75,2707570.81,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678377600,2023-03-09T16:00:00Z,1,1,0.9999,1,2902490.71,2902450.44,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678381200,2023-03-09T17:00:00Z,1,1,0.9999,1,2817800.45,2817682.3,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678384800,2023-03-09T18:00:00Z,1,1.022,0.9984,0.9999,9116.88,9115.95,invert_divide,BTC,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678388400,2023-03-09T19:00:00Z,0.9999,1.008,0.9975,0.9999,6387.79,6387.23,invert_divide,BTC,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678392000,2023-03-09T20:00:00Z,1,1.053,0.9982,1.001,125601.96,125678.38,invert_divide,ETH,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678395600,2023-03-09T21:00:00Z,1,1,0.9999,1,2228902.07,2228772.4,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678399200,2023-03-09T22:00:00Z,1,1,1,1,2824671.42,2824715.01,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678402800,2023-03-09T23:00:00Z,1,1,1,1,812139.48,812357.77,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678406400,2023-03-10T00:00:00Z,1,1,1,1,2495767.63,2496155.32,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678410000,2023-03-10T01:00:00Z,1,1.002,0.9847,1,9035.29,9037.59,invert_divide,BTC,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678413600,2023-03-10T02:00:00Z,1,1.005,1,1,2050.67,2051.09,invert_divide,BTC,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678417200,2023-03-10T03:00:00Z,1,1,1,1,2653146.7,2654100.86,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678420800,2023-03-10T04:00:00Z,1,1,1,1,3092327.2,3093384.01,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678424400,2023-03-10T05:00:00Z,1,1,1,1,1910549.11,1911178.96,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678428000,2023-03-10T06:00:00Z,1,1.007,0.9993,1,2482.3,2482.41,invert_divide,BTC,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678431600,2023-03-10T07:00:00Z,1,1.004,0.9928,1,5215.17,5216.42,invert_divide,BTC,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678435200,2023-03-10T08:00:00Z,1,1,1,1,1210081.27,1210464.91,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678438800,2023-03-10T09:00:00Z,1,1,1,1,2582981.92,2583599.73,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678442400,2023-03-10T10:00:00Z,1,1,1,1,3523137.66,3523892.18,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678446000,2023-03-10T11:00:00Z,1,1,1,1,3889074.46,3889976.65,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678449600,2023-03-10T12:00:00Z,1,1,1,1,2713324.08,2713471.7,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678453200,2023-03-10T13:00:00Z,1,1,0.9999,0.9999,5672428.36,5672487.02,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678456800,2023-03-10T14:00:00Z,0.9999,1.001,0.9999,1,7019621.71,7020010.01,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678460400,2023-03-10T15:00:00Z,1,1,1,1,4817294.01,4817520.36,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678464000,2023-03-10T16:00:00Z,1,1,1,1,6077872.03,6078187.41,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678467600,2023-03-10T17:00:00Z,1,1,1,1,2831192.94,2831248.55,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678471200,2023-03-10T18:00:00Z,1,1,1,1,8462019.03,8460791.84,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678474800,2023-03-10T19:00:00Z,1,1,0.9995,1,6400542.33,6400069.62,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678478400,2023-03-10T20:00:00Z,1,1,0.9998,1,4295177.03,4294611.83,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678482000,2023-03-10T21:00:00Z,1,1,0.9957,0.9973,11364349.42,11358642.02,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678485600,2023-03-10T22:00:00Z,0.9973,0.998,0.9912,0.9942,18522947.92,18429593.25,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678489200,2023-03-10T23:00:00Z,0.9942,0.9988,0.9912,0.9983,16733391.37,16643144.82,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678492800,2023-03-11T00:00:00Z,0.9983,0.999,0.991,0.9948,27753990.56,27625073.79,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678496400,2023-03-11T01:00:00Z,0.9948,0.9978,0.9911,0.9947,24780491.56,24628555.2,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678500000,2023-03-11T02:00:00Z,0.9947,0.9953,0.9842,0.9929,47955514.32,47564072.38,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678503600,2023-03-11T03:00:00Z,0.9929,0.9952,0.9048,0.9237,30213825.61,29362214.47,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678507200,2023-03-11T04:00:00Z,0.9237,0.9655,0.917,0.9535,47083621.33,44789482.82,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678510800,2023-03-11T05:00:00Z,0.9535,0.9589,0.9452,0.9467,37346086.38,35872394.25,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678514400,2023-03-11T06:00:00Z,0.9467,0.9497,0.8862,0.922,29571141.04,27459467.77,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678518000,2023-03-11T07:00:00Z,0.922,0.922,0.8774,0.9022,37507159.73,33530238.16,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678521600,2023-03-11T08:00:00Z,0.9022,0.9271,0.8838,0.923,29043938.88,26315086.39,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678525200,2023-03-11T09:00:00Z,0.923,0.9246,0.9054,0.9113,34514716.44,31520266.03,direct,,CLAIM_108; CLAIM_109
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,USD,1678528800,2023-03-11T10:00:00Z,0.9113,0.9164,0.908,0.9144,34522840.02,31447259.41,direct,,CLAIM_108; CLAIM_109
