source_id,chain,token_symbol,gecko_id,total_circulating_usd
DEFILLAMA_002,Manta,MANTA,manta-network,6281500.366642072
DEFILLAMA_002,ThunderCore,TT,thunder-token,475667.1922934762
DEFILLAMA_002,Movement,MOVE,movement,40108945.47654777
DEFILLAMA_002,Shiden,SDN,shiden,32720.12753852956
DEFILLAMA_002,Corn,CORN,corn-3,155842.1690355748
DEFILLAMA_002,StarkNet,,,338439330.28166956
DEFILLAMA_002,Tron,TRON,tron,89754394253.46753
DEFILLAMA_002,CORE,CORE,coredaoorg,3545584.926990637
DEFILLAMA_002,ApeChain,APE,apecoin,319727.01850173285
DEFILLAMA_002,Zilliqa,ZIL,zilliqa,3779283.366051176
DEFILLAMA_002,Evmos,EVMOS,evmos,119640.56361224208
DEFILLAMA_002,Peaq,,,971781.6988924056
DEFILLAMA_002,Monad,MON,monad,388141883.6964649
DEFILLAMA_002,Milkomeda C1,,,0.0
DEFILLAMA_002,SXnetwork,SX,sx-network,0.0
DEFILLAMA_002,Aptos,APT,aptos,1667337529.1595495
DEFILLAMA_002,Tezos,XTZ,tezos,54690697.59294522
DEFILLAMA_002,PulseChain,PLS,pulsechain,33489431.197294258
DEFILLAMA_002,Kusama,KSM,kusama,239623.102119263
DEFILLAMA_002,Immutable zkEVM,IMX,immutable-x,11727027.42901396
DEFILLAMA_002,Loopring,LRC,loopring,1495794.7445344017
DEFILLAMA_002,Algorand,ALGO,algorand,83964773.91313006
DEFILLAMA_002,Polygon,MATIC,matic-network,3402960922.892726
DEFILLAMA_002,DefiChain,DFI,defichain,0.0
DEFILLAMA_002,MANTRA,MANTRA,mantra,352951.03749631415
DEFILLAMA_002,Unichain,-,,142881407.59939837
DEFILLAMA_002,Metis,METIS,metis-token,7777712.624881073
DEFILLAMA_002,Wanchain,WAN,wanchain,1353579.900937945
DEFILLAMA_002,Kava,KAVA,kava,75112265.83553723
DEFILLAMA_002,Ontology,ONT,ontology,0.0
DEFILLAMA_002,Ink,,,287028165.63920045
DEFILLAMA_002,Kaia,,,229768821.44253287
DEFILLAMA_002,REINetwork,REI,rei-network,2139.940914127294
DEFILLAMA_002,Morph,-,,13578656.244238386
DEFILLAMA_002,IoTeX,IOTX,iotex,3933763.5588630396
DEFILLAMA_002,Osmosis,OSMO,osmosis,31369463.514255363
DEFILLAMA_002,Ethereum,ETH,ethereum,163129047751.10345
DEFILLAMA_002,Linea,LINEA,linea,40608217.02211162
DEFILLAMA_002,Cardano,ADA,cardano,39333673.7801118
DEFILLAMA_002,XDC,XDC,xdce-crowd-sale,79751090.66322505
DEFILLAMA_002,Waves,WAVES,waves,33170523.77743173
DEFILLAMA_002,EthereumClassic,ETC,ethereum-classic,73874.56937315241
DEFILLAMA_002,Soneium,SONE,soneium,3537657.5230745026
DEFILLAMA_002,Vana,,,460888.4927660788
DEFILLAMA_002,Somnia,,,792524.3520865621
DEFILLAMA_002,Rari,,,39012.10967690319
DEFILLAMA_002,Mode,MODE,mode,1268166.6150106264
DEFILLAMA_002,Kardia,KAI,kardiachain,0.0
DEFILLAMA_002,KCC,KCS,kucoin-shares,10625401.875022855
DEFILLAMA_002,EOS,EOS,eos,1715379.251536466
DEFILLAMA_002,EDU Chain,EDU,edu-coin,1109777.571733438
DEFILLAMA_002,Berachain,BERA,berachain-bera,79625418.50914395
DEFILLAMA_002,Crab,CRAB,darwinia-crab-network-native-token,0.0
DEFILLAMA_002,Bittorrent,BTT,bittorrent,324140.04138039955
DEFILLAMA_002,Theta,THETA,theta-token,39762.335999805946
DEFILLAMA_002,MultiversX,EGLD,elrond-erd-2,9155249.619739454
DEFILLAMA_002,Katana,,,73759545.94755512
DEFILLAMA_002,OP Mainnet,OP,optimism,574237504.5363292
DEFILLAMA_002,Iotaevm,,,858806.2962090769
DEFILLAMA_002,Statemine,,,239623.102119263
DEFILLAMA_002,Glue,GLUE,glue-2,42348.44231473698
DEFILLAMA_002,Harmony,ONE,harmony,8504838.47764077
DEFILLAMA_002,BSC,BNB,binancecoin,13856251546.467045
DEFILLAMA_002,Flow,FLOW,flow,11540784.434340402
DEFILLAMA_002,Dogechain,DG,dogechain,434884.06360600586
DEFILLAMA_002,Astar,ASTR,astar,426450.3540787607
DEFILLAMA_002,Heco,HT,huobi-token,0.0
DEFILLAMA_002,Oasis,ROSE,oasis-network,404835.20470719936
DEFILLAMA_002,Sty,,,1140382.8347905849
DEFILLAMA_002,Citrea,,,645372.2113016307
DEFILLAMA_002,Avalanche,AVAX,avalanche-2,1440558997.3667274
DEFILLAMA_002,Telos,TLOS,telos,712509.021034074
DEFILLAMA_002,Arbitrum,ARB,arbitrum,3665342401.87973
DEFILLAMA_002,Stacks,STX,blockstack,23298351.162144367
DEFILLAMA_002,Redbelly,RBNT,redbelly-network-token,754418.8569158269
DEFILLAMA_002,Viction,VIC,tomochain,173216.87733766332
DEFILLAMA_002,zkSync Lite,,,0.0
DEFILLAMA_002,GOAT,GOATED,goat-network,210033.1618524359
DEFILLAMA_002,Sui,SUI,sui,575549332.9351699
DEFILLAMA_002,Zircuit,ZRC,zircuit,564360.8603990554
DEFILLAMA_002,Arbitrum Nova,,,395162.6664280974
DEFILLAMA_002,Plasma,XPL,plasma,943045954.4310737
DEFILLAMA_002,Rootstock,RBTC,rootstock,10558788.202830983
DEFILLAMA_002,Abstract,,,10875971.061570384
DEFILLAMA_002,Moonbeam,GLMR,moonbeam,2410639.7215439547
DEFILLAMA_002,TON,TON,the-open-network,752403570.056244
DEFILLAMA_002,ZKsync Era,ZK,zksync,43783972.03723411
DEFILLAMA_002,Aurora,AURORA,aurora-near,4259673.94589114
DEFILLAMA_002,Sei,SEI,sei-network,333024640.13968575
DEFILLAMA_002,Gravity,,,1144357.1089863903
DEFILLAMA_002,Injective,INJ,injective-protocol,16125493.754700027
DEFILLAMA_002,Lightlink_phoenix,,,47404.835969306536
DEFILLAMA_002,Canto,CANTO,canto,5059044.410110977
DEFILLAMA_002,Scroll,SCR,scroll,12427329.933767565
DEFILLAMA_002,Moonriver,MOVR,moonriver,8661104.632226462
DEFILLAMA_002,Mixin,XIN,mixin,34463676.8241563
DEFILLAMA_002,Meter,MTRG,meter,1685841.583424391
DEFILLAMA_002,Stable,STABLE,stable-2,10247940.792441621
DEFILLAMA_002,X Layer,,x-layer,1511169960.0564601
DEFILLAMA_002,Etherlink,,,17525697.90580051
DEFILLAMA_002,Gnosis,GNO,gnosis,19107752.2630333
DEFILLAMA_002,Nibiru,NIBI,nibiru,2953258.3807993648
DEFILLAMA_002,Omni,OMNI,omni,80000003.03083067
DEFILLAMA_002,Conflux,CFX,conflux-token,5213847.602569365
DEFILLAMA_002,Celo,CELO,celo,167851839.1631319
DEFILLAMA_002,Taiko,,,2173829.7643137933
DEFILLAMA_002,Fuse,FUSE,fuse-network-token,219794.40664003254
DEFILLAMA_002,MegaETH,MEGA,megaeth ,706101797.0963404
DEFILLAMA_002,Fantom,FTM,fantom,329217503.52846366
DEFILLAMA_002,Hyperliquid L1,HYPE,hyperliquid,5448105713.061316
DEFILLAMA_002,OKExChain,OKT,oec-token,9386046.421959477
DEFILLAMA_002,Hemi,HEMI,hemi,6702860.00770577
DEFILLAMA_002,Mantle,MNT,mantle,602649868.5950831
DEFILLAMA_002,Near,NEAR,near,120882539.76503791
DEFILLAMA_002,Terra Classic,LUNA,terra-luna,0.0
DEFILLAMA_002,Flare,FLR,flare-networks,64386249.3418293
DEFILLAMA_002,Plume Mainnet,PLUME,plume,509053555.3633457
DEFILLAMA_002,Boba,BOBA,boba-network,1578707.4174544415
DEFILLAMA_002,NEO,NEO,neo,3857901.0603464562
DEFILLAMA_002,Syscoin,SYS,syscoin,235409.45532868482
DEFILLAMA_002,ICP,ICP,internet-computer,4932502.467458436
DEFILLAMA_002,Solana,SOL,solana,14841367296.35243
DEFILLAMA_002,0g,,,2.798889942697994
DEFILLAMA_002,Tempo,,,15439002.41682088
DEFILLAMA_002,Everscale,EVER,everscale,0.0
DEFILLAMA_002,Polkadot,DOT,polkadot,78267958.65972297
DEFILLAMA_002,Horizen,,,4859.453950376758
DEFILLAMA_002,BSquared,B2,bsquared-network,5118713.204242669
DEFILLAMA_002,Spn,,,128465.052222005
DEFILLAMA_002,BOB,BOB,bob-build-on-bitcoin,20451363.432231095
DEFILLAMA_002,XRPL,XRP,ripple,446822100.7416517
DEFILLAMA_002,WEMIX3.0,WEMIX,wemix-token,2.9990211119547343
DEFILLAMA_002,Btnx,,,1595038.9193726513
DEFILLAMA_002,Edu_chain,,,129239.81560963874
DEFILLAMA_002,Hedera,HBAR,hedera,44762024.26470721
DEFILLAMA_002,Camp,,,88.26152293703107
DEFILLAMA_002,Zkfair,,,87457.38901510947
DEFILLAMA_002,Karura,KAR,karura,3010701.7202350083
DEFILLAMA_002,Moca,,,0.0
DEFILLAMA_002,Lisk,LSK,lisk,620864.9152248449
DEFILLAMA_002,Cronos,CRO,crypto-com-chain,179797879.8614801
DEFILLAMA_002,Base,,,4669808958.649304
DEFILLAMA_002,Noble,,,142639140.30119687
DEFILLAMA_002,Gatelayer,,,231752.41644158674
DEFILLAMA_002,Shape,SHAPE,shape,233188.01995674602
DEFILLAMA_002,Ronin,RON,,1.0358842663959709
DEFILLAMA_002,DFK,JEWEL,defi-kingdoms,848969.1752331628
DEFILLAMA_002,Kadena,KDA,kadena,0.0
DEFILLAMA_002,edgeX L1,,,23567481.94809322
DEFILLAMA_002,World Chain,WLD,worldcoin-wld,18440459.657767102
DEFILLAMA_002,Codex,,,50248192.65173462
DEFILLAMA_002,Degen,,,710.957123056425
DEFILLAMA_002,Xc,,,0.0
DEFILLAMA_002,Ap3x,,,81.77078487314262
DEFILLAMA_002,Stellar,XLM,stellar,406642680.47232604
DEFILLAMA_002,Bitlayer,BTR,bitlayer-bitvm,295445.5713619311
DEFILLAMA_002,Fogo,FOGO,fogo,2460574.865531213
DEFILLAMA_002,Orderly,,,49.42193247416861
DEFILLAMA_002,Gensyn,,,1055118.8679620754
DEFILLAMA_002,Doma,,,901858.5628139547
DEFILLAMA_002,Polygon zkEVM,,,937150.2547839999
DEFILLAMA_002,Elastos,ELA,elastos,128358.6886958807
DEFILLAMA_002,Nero,NERO,,10.996425405734566
DEFILLAMA_002,Sonic,S,sonic-3,105960017.88671395
DEFILLAMA_002,Perennial,,,725268.5221488057
DEFILLAMA_002,Xai,XAI,xai-blockchain,25.009108320409837
DEFILLAMA_002,Aztec,,,420510.09619147255
DEFILLAMA_002,Velas,VLX,velas,7803.428464658546
DEFILLAMA_002,Fraxtal,FXTL,fraxtal,24185039.455468226
