source_id,asset_id,name,symbol,peg_type,peg_mechanism,circulating_usd,circulating_prev_day_usd,circulating_prev_week_usd,circulating_prev_month_usd
DEFILLAMA_001,1,Tether,USDT,peggedUSD,fiat-backed,189727137238.51105,189686281594.35904,189520841421.5251,184620963993.73132
DEFILLAMA_001,2,USD Coin,USDC,peggedUSD,fiat-backed,76834456809.6387,77141573812.67415,78356574633.96542,78703243850.64075
DEFILLAMA_001,209,Sky Dollar,USDS,peggedUSD,crypto-backed,8681980656.119919,8700620557.059793,8625805867.111404,8551968067.453232
DEFILLAMA_001,5,Dai,DAI,peggedUSD,crypto-backed,4612652528.754735,4633604848.4645605,4638521602.59664,4621823965.645047
DEFILLAMA_001,262,World Liberty Financial USD,USD1,peggedUSD,fiat-backed,4449315819.288102,4434938251.463437,4561996268.760942,4096641349.6547165
DEFILLAMA_001,146,Ethena USDe,USDe,peggedUSD,crypto-backed,4039825478.8919687,3972253305.577391,3946751568.3112206,5829725334.147268
DEFILLAMA_001,120,PayPal USD,PYUSD,peggedUSD,fiat-backed,3469913780.407083,3455422348.5212173,3426275921.219417,4007316215.5066733
DEFILLAMA_001,286,Global Dollar,USDG,peggedUSD,fiat-backed,3304454412.2703857,3434929697.4130764,2470653264.714701,2050863863.074448
DEFILLAMA_001,237,Circle USYC,USYC,peggedUSD,fiat-backed,2978681756.896554,2978653132.815554,2991495319.746758,2671369167.1958256
DEFILLAMA_001,173,BlackRock USD,BUIDL,peggedUSD,fiat-backed,2842011124.570449,2945621753.9704494,2921538635.350449,3034123890.3604493
DEFILLAMA_001,129,Ondo US Dollar Yield,USDY,peggedUSD,fiat-backed,2137442892.1298127,2136945376.230798,2137018280.8029895,2140398503.562154
DEFILLAMA_001,246,Falcon USD,USDf,peggedUSD,crypto-backed,1616801104.9614673,1616388332.4567194,1621494611.3737764,1622122529.848227
DEFILLAMA_001,250,Ripple USD,RLUSD,peggedUSD,fiat-backed,1553330423.8632092,1553591930.740219,1534070993.9659872,1441583929.905613
DEFILLAMA_001,14,USDD,USDD,peggedUSD,crypto-backed,1472358587.2280815,1472701005.935876,1469126051.3155482,1524472483.9149427
DEFILLAMA_001,336,United Stables,U,peggedUSD,crypto-backed,1063277102.0536132,1048271196.9546999,1048271196.9546999,973241471.3813978
DEFILLAMA_001,221,Ethena USDtb,USDTB,peggedUSD,fiat-backed,870402619.9150864,684072226.5352917,684122995.1358427,939035017.6873846
DEFILLAMA_001,118,GHO,GHO,peggedUSD,crypto-backed,583622377.2254195,583622377.2254195,583622377.2254195,583622377.2254195
DEFILLAMA_001,195,Usual USD,USD0,peggedUSD,fiat-backed,556595032.2725621,556644512.8126508,557717337.621568,557894950.1325603
DEFILLAMA_001,272,YLDS,YLDS,peggedUSD,fiat-backed,527687911.76373905,529363927.68719375,530900387.3911389,577194684.4877706
DEFILLAMA_001,7,TrueUSD,TUSD,peggedUSD,fiat-backed,484262863.63749653,484262863.63749653,484262863.63749653,484262863.63749653
DEFILLAMA_001,119,First Digital USD,FDUSD,peggedUSD,fiat-backed,405861642.318695,409712665.2891829,403938375.6693699,400188466.9154092
DEFILLAMA_001,354,apxUSD,apxUSD,peggedUSD,crypto-backed,401273583.87936234,386395116.9858738,306836761.7553884,141268052.18381894
DEFILLAMA_001,310,Solstice USX,USX,peggedUSD,crypto-backed,378154026.9222859,378154026.9688091,378560170.3891626,361896511.7371155
DEFILLAMA_001,213,M by M0,M,peggedUSD,fiat-backed,298959762.954181,300425626.219646,284449471.663301,281503454.545905
DEFILLAMA_001,342,MegaUSD,USDM,peggedUSD,crypto-backed,277399387.8267235,323824265.80472356,551665590.0530534,63772990.05078067
DEFILLAMA_001,220,Avalon USDa,USDA,peggedUSD,crypto-backed,270844395.42131597,270844395.42131597,270844395.42131597,270844395.42131597
DEFILLAMA_001,110,crvUSD,crvUSD,peggedUSD,crypto-backed,269183522.2044,268381586.81325987,320769893.0515038,248783426.97285375
DEFILLAMA_001,309,USD.AI,USDai,peggedUSD,crypto-backed,265726126.9794585,254772289.19906953,248569508.64677298,298405401.4809566
DEFILLAMA_001,153,Binance Peg BUSD,BUSD,peggedUSD,crypto-backed,232638716.35511798,232638716.35511798,232638635.8620183,232637773.3744989
DEFILLAMA_001,347,USDGO,USDGO,peggedUSD,fiat-backed,209526760.46258688,209758198.6331004,177062187.3404617,67404407.91042712
DEFILLAMA_001,6,Frax,FRAX,peggedUSD,algorithmic,197049785.69998473,197063678.91497222,193652237.40814805,199396228.59698594
DEFILLAMA_001,339,Re Protocol reUSD,reUSD,peggedUSD,crypto-backed,171747285.98744366,171854223.33510253,172328390.40198955,180016622.81112054
DEFILLAMA_001,306,Gate USD,GUSD,peggedUSD,fiat-backed,165664047.10627156,165701157.66412848,170008174.74573007,157530731.04152727
DEFILLAMA_001,218,River Stablecoin,satUSD,peggedUSD,crypto-backed,158836993.3504054,158829798.25846916,158815245.8418978,158814725.1451959
DEFILLAMA_001,340,rwaUSDi,rwaUSDi,peggedUSD,crypto-backed,155940413.54269898,155940413.54269898,155940413.54269898,155940413.54269898
DEFILLAMA_001,205,Agora Dollar,AUSD,peggedUSD,fiat-backed,155390024.678805,153390376.24218896,153369114.97018838,161486016.91658172
DEFILLAMA_001,343,USAT,USAT,peggedUSD,fiat-backed,152540611.71277964,152540611.71277964,143553001.10771912,49683400.078265384
DEFILLAMA_001,346,Neutrl USD,NUSD,peggedUSD,crypto-backed,149073505.0298182,150536234.18057376,151643390.03152195,169073300.74522784
DEFILLAMA_001,235,Frax USD,FRXUSD,peggedUSD,fiat-backed,138173696.31194815,138168639.93796846,137729245.81947574,133769762.72705238
DEFILLAMA_001,257,OpenEden TBILL,TBILL,peggedUSD,fiat-backed,119008756.22767366,119368787.15899912,119837221.83277275,135630958.05282483
DEFILLAMA_001,316,CASH,CASH,peggedUSD,fiat-backed,117709086.78620897,121388676.40524983,125644489.02099971,123195197.64456281
DEFILLAMA_001,219,Astherus,USDF,peggedUSD,crypto-backed,116195799.53992929,119236142.26836926,118943360.41439766,118069463.04627
DEFILLAMA_001,296,Cap cUSD,CUSD,peggedUSD,crypto-backed,114301645.04406008,113869835.40849662,114728543.29409602,93601008.25186272
DEFILLAMA_001,321,USDH Stablecoin,USDH,peggedUSD,fiat-backed,101728526.44571099,100982792.2235051,103348123.77001981,94492631.19448784
DEFILLAMA_001,252,StandX DUSD,DUSD,peggedUSD,crypto-backed,100523299.33361201,100535392.84271717,100181937.23793057,99224701.49502084
DEFILLAMA_001,284,MNEE USD,MNEE,peggedUSD,fiat-backed,100149482.33592573,100149482.33592573,100994233.0058064,101300191.65256083
DEFILLAMA_001,315,US Permissionless Dollar,USPD,peggedUSD,crypto-backed,98934783.08929051,480271.27563724905,357682.50250667747,320521.3190801695
DEFILLAMA_001,271,Avant USD,avUSD,peggedUSD,fiat-backed,95779246.33194052,98341194.63540184,100283935.62166728,125701797.69497447
DEFILLAMA_001,210,Elixir deUSD,DEUSD,peggedUSD,crypto-backed,92153211.3337797,92153211.3337797,92153211.33377971,92153211.3337797
DEFILLAMA_001,283,Unitas,USDU,peggedUSD,crypto-backed,89518013.81719415,91608503.21728615,91565664.84995408,102290639.84567156
DEFILLAMA_001,332,pmUSD,pmUSD,peggedUSD,crypto-backed,84405286.99747668,84405286.99747668,84405286.99747668,84405286.99747668
DEFILLAMA_001,21,flexUSD,FLEXUSD,peggedUSD,crypto-backed,83677019.0046748,83677019.0046748,83677019.0046748,83677019.0046748
DEFILLAMA_001,15,Dola,DOLA,peggedUSD,crypto-backed,80511693.1697722,80511693.1697722,80511693.1697722,135264096.67000854
DEFILLAMA_001,298,infiniFi USD,IUSD,peggedUSD,crypto-backed,79158957.37408428,79436529.88225447,82041733.05783682,102489845.07903221
DEFILLAMA_001,328,Mustang Finance,MUST,peggedUSD,crypto-backed,77647906.88778687,77647703.15784879,77621280.92501298,77621280.92501298
DEFILLAMA_001,79,Lista USD,LISUSD,peggedUSD,crypto-backed,75895338.90435801,76131893.19290054,76136490.36058965,76141831.64219387
DEFILLAMA_001,373,Sui Dollar,USDSUI,peggedUSD,fiat-backed,75203326.16544244,73121218.73080951,73042658.28473745,36505676.859688334
DEFILLAMA_001,166,Cygnus Finance Global USD,cgUSD,peggedUSD,fiat-backed,75095628.47576962,75095616.52807148,75071693.51502253,74783656.43249115
DEFILLAMA_001,297,Main Street USD,MSUSD,peggedUSD,crypto-backed,74219670.90110993,73159939.46121207,67412263.83856286,46877909.634701915
DEFILLAMA_001,335,JupUSD,JUPUSD,peggedUSD,crypto-backed,59643663.5428878,62344991.672010556,62492470.162253484,79553269.66351195
DEFILLAMA_001,389,CFX MoveUSD,MOVEUSD,peggedUSD,fiat-backed,57793199.23839081,57844060.62092289,,
DEFILLAMA_001,168,fxUSD,fxUSD,peggedUSD,crypto-backed,53891250.08027738,53800154.8161528,36818181.474064745,18065738.863472667
DEFILLAMA_001,290,StraitsX XUSD,XUSD,peggedUSD,fiat-backed,53852458.15323357,53852458.15323357,63850560.20690479,50253141.41391193
DEFILLAMA_001,275,Quantoz USDQ,USDQ,peggedUSD,fiat-backed,52089809.000384,52089809.000384,52089809.000384,52089809.000384
DEFILLAMA_001,348,Fidelity Digital Dollar,FIDD,peggedUSD,fiat-backed,51533207.40014551,51533204.401186906,51533207.40014551,49833797.529574834
DEFILLAMA_001,344,Yuzu USD,YZUSD,peggedUSD,crypto-backed,42672747.94468059,42672747.94468059,37985975.456073426,63170256.84572412
DEFILLAMA_001,11,Pax Dollar,USDP,peggedUSD,fiat-backed,40533716.90407264,40533716.90407264,40533716.90407264,40533716.90729681
DEFILLAMA_001,19,Gemini Dollar,GUSD,peggedUSD,fiat-backed,40046835.22281552,40103302.59652489,40544491.72833628,43559003.87857715
DEFILLAMA_001,4,Binance USD,BUSD,peggedUSD,fiat-backed,39975674.847340025,39975674.847340025,39975674.847340025,39975674.847340025
DEFILLAMA_001,263,Hex Trust USDX,USDX,peggedUSD,fiat-backed,37065640.63605139,37065640.63605139,37065640.63605139,42722477.478388324
DEFILLAMA_001,255,Aegis YUSD,YUSD,peggedUSD,fiat-backed,35860410.73053132,35860410.73053132,35964118.91853133,36408252.31803848
DEFILLAMA_001,269,Liquity BOLD,BOLD,peggedUSD,crypto-backed,35250093.11630899,35096044.18310715,34380218.194327496,31945506.146320764
DEFILLAMA_001,22,sUSD,SUSD,peggedUSD,crypto-backed,34370043.93539278,34395397.97707952,34399830.60870508,34393738.74240189
DEFILLAMA_001,241,OpenDollar USDO,USDO,peggedUSD,fiat-backed,34227928.04807047,34224881.934551686,35431413.20494585,41302577.431132354
DEFILLAMA_001,12,Neutrino USD,USDN,peggedUSD,algorithmic,33507696.535437178,33507696.535437178,33507696.535437178,33507696.722746067
DEFILLAMA_001,67,Bean,BEAN,peggedUSD,algorithmic,33391303.127731,33391303.127731,33391303.127731,33391303.127731
DEFILLAMA_001,256,Resupply USD,REUSD,peggedUSD,crypto-backed,33120889.21773184,32986338.250489805,34650306.08598206,34910046.001397125
DEFILLAMA_001,97,USP Stablecoin,USP,peggedUSD,crypto-backed,32916377.43101591,32916377.43101591,32916377.43101591,32916377.43101591
